month;quote;total
2020-11;7.3;15354000
2020-12;7.4;15498000
2021-01;7.9;16457000
2021-02;7.9;16538000
2021-03;7.7;16145000
2021-04;7.5;15827000
2021-05;7.2;15304000
2021-06;6.9;14820000
2021-07;6.8;14507000
2021-08;6.8;14599000
2021-09;6.6;14228000
2021-10;6.6;14149000
2021-11;6.4;13701000
2021-12;6.3;13539000
2022-01;6.6;14094000
2022-02;6.5;13924000
2022-03;6.3;13545000
2022-04;6.2;13236000
2022-05;6;12891000
2022-06;5.9;12737000
2022-07;6;12894000
2022-08;6.1;13195000
2022-09;6;13071000
2022-10;6.1;13174000
2022-11;6.1;13133000
2022-12;6.1;13161000
2023-01;6.3;13722000
2023-02;6.3;13694000
2023-03;6.1;13325000
2023-04;6;12989000
2023-05;5.8;12589000
2023-06;5.8;12561000
2023-07;5.9;12807000
2023-08;6;13109000
2023-09;6;13055000
2023-10;6.1;13447000
2023-11;6;13119000
2023-12;6;13027000
2024-01;6.3;13712000
2024-02;;0
