countryID,2022
AUT,-15839.8
BEL,-19608.4
BGR,-2484.3
CYP,676.3
CZE,-8871.2
DEU,-96910
DNK,12722
EST,-348.6
GRC,-4892
ESP,-63736
FIN,-1387
FRA,-126795.9
HRV,75.7
HUN,-10544.8
IRL,8504.4
ISL,-1091.3
ITA,-156442
LTU,-439.9
LUX,-222.3
LVA,-1789.3
MLT,-982.1
NLD,-898
NOR,144436.9
POL,-24078.3
PRT,-779.2
ROU,-17889.5
SWE,7089
SVN,-1717.2
SVK,-2215.6
