sector,na_item,geo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
S13,TE,MT,1894.6,1961.5,2166.8,2056.3,2184.8,2279.6,2370.2,2617.4,2576.3,2737.1,2905.0,3103.8,3242.3,3523.5,3850.5,3834.1,4112.5,4692.5,5099.9,6047.8,6578.6,6866.2,
S13,TE,NL,207640.0,218881.0,229208.0,231037.0,234593.0,253629.0,264371.0,281277.0,299259.0,307878.0,306631.0,307043.0,309368.0,309489.0,309465.0,309167.0,313410.0,327239.0,342493.0,380991.0,400161.0,416921.0 p,
S13,TE,NO,85878.9,98083.0,97820.2,96790.7,105565.2,113451.9,122367.5,128631.5,129384.8,146956.3,158325.6,171737.9,174704.3,173878.8,171314.2,171850.5,178344.8,180787.3,186483.0,185998.9,200314.9,216572.0,
S13,TE,PL,95440.2,95191.8,87834.1,89575.0,108916.1,122020.1,134642.0,161687.0,142711.7,166049.5,167464.2,167380.7,168604.9,174381.3,179398.7,175560.8,192918.7,206822.3,222991.0,253852.4,254137.4,287352.2,
S13,TE,PT,59917.9,62344.8,66267.3,70388.3,74144.9,75225.8,78112.9,81206.5,88099.4,93215.6,88088.3,82277.8,85112.3,89529.6,86707.4,83615.9,88897.4,88722.5,91004.2,98743.3,102533.9,106873.6,
S13,TE,RO,16401.4,16988.7,17544.4,20416.9,26540.3,34650.1,47894.0,55322.3,50002.2,50656.6,52779.2,50377.7,51409.8,53348.1,57716.5,58618.8,62634.4,71058.2,81393.1,92155.7,96695.1,114309.0,
S13,TE,SE,142120.6,152110.0,159411.2,162771.6,165195.6,172426.3,177128.4,177603.6,164911.8,188967.5,205512.1,219333.0,228304.8,222558.7,224814.9,231874.2,236443.6,234738.4,234438.6,250389.7,265746.8,267273.5,
S13,TE,SI,11325.0,11802.3,12376.9,12912.0,13510.9,14333.9,15225.3,17086.5,17895.8,18245.9,18846.7,17892.6,21970.0,19134.1,18925.3,18669.7,18955.1,19942.1,21072.7,24161.5,25861.2,26898.8,
S13,TE,SK,10832.7,11971.1,12161.9,13180.1,15653.4,17703.0,20496.6,24452.6,28463.3,28977.7,29686.7,30276.4,31640.3,33028.6,36508.2,34574.9,33440.3,35652.9,38263.8,41804.1,45460.0,46334.7,
S13,TR,AT,111793.3,112626.5,114736.1,118508.6,123600.3,128139.2,135995.6,142118.3,140608.9,143209.6,149926.6,156216.3,160975.6,165579.5,172552.9,173571.2,179076.9,188506.1,195562.6,185929.1,204205.5,221917.4,
S13,TR,BE,131142.4,136245.0,138303.3,145679.7,152374.1,159418.4,167099.7,174745.9,170637.0,180809.6,191647.2,201425.5,208174.8,211754.8,213792.9,218287.7,228517.2,236444.1,238945.3,229852.7,251293.6,274899.4 p,
S13,TR,BG,6570.4,6650.2,7243.6,8354.4,9220.7,9957.7,12234.2,14330.6,13034.2,12427.8,13253.4,14135.3,15573.7,16260.1,17643.8,17107.4,19118.3,21740.9,23662.8,23227.7,26795.8,32998.5,
S13,TR,CH,105052.2,109452.4,105290.8,105859.4,109681.4,113486.3,114179.2,126712.4,132537.9,148035.8,170450.1,175820.1,176517.0,180948.6,213677.5,210842.5,214517.4,210586.8,222970.1,229543.4,243749.2,265772.0,
S13,TR,CY,3854.9,3974.7,4455.7,4858.6,5579.4,6126.8,7180.5,7464.7,6847.7,7202.8,7233.2,7085.1,6722.1,7072.6,7093.1,7138.1,7780.3,8451.2,9134.3,8514.1,9983.5,11456.4,
S13,TR,CZ,28427.6,33464.2,37468.7,38577.7,43404.1,48973.3,55314.5,63050.2,58258.1,62344.0,66885.9,66299.9,65963.3,63991.1,70011.1,71796.6,78587.9,87525.6,93274.1,89456.3,98688.7,114316.3,
S13,TR,DE,964408.0,967097.0,986360.0,983231.0,995446.0,1039469.0,1091269.0,1122573.0,1101797.0,1122258.0,1194783.0,1233394.0,1264668.0,1313906.0,1364857.0,1426748.0,1486925.0,1557224.0,1616462.0 p	1569885.0 p	1712862.0 p	1821233.0 p,,,,
S13,TR,DK,99344.1,100968.8,103456.1,111475.0,119604.4,123629.1,127455.0,129467.8,124284.6,131219.4,134781.1,138654.6,141234.0,149786.3,145240.1,148272.0,154290.2,155121.0,166523.2,167686.1,184724.6,183908.0,
S13,TR,EA19,3305583.0,3385352.2,3480367.2,3601584.7,3749211.5,3988164.3,4220745.0,4299217.9,4146855.3,4252868.2,4428882.3,4554733.6,4663341.8,4764558.9,4890288.0,5006443.8,5186879.0,5388988.4,5551102.8,5321242.3,5836321.4,6296074.3,
S13,TR,EA20,3317528.4,3398056.4,3494212.0,3616057.1,3765046.5,4005368.9,4240220.7,4320376.9,4166048.4,4271785.4,4447500.2,4573363.5,4682237.0,4783799.4,4910313.2,5027771.3,5209394.1,5412917.6,5576972.2,5344854.9,5863242.4,6326685.2,
S13,TR,EE,2457.0,2839.0,3220.8,3564.3,3952.3,4929.1,5982.8,6115.9,6170.2,5964.9,6422.4,6980.1,7300.4,7713.1,8177.9,8478.5,9238.2,10040.5,10971.1,10818.1,12289.6,13975.2,
S13,TR,EL,61669.0,65013.0,69346.0,75136.0,78449.0,85338.0,93921.0,98416.0,92328.0,93146.0,90700.0,90377.0,89524.0,84065.0,85712.0,88151.0,87563.0,89436.0,89851.0,83284.0,92015.0,104360.0,
S13,TR,ES,266085.0,287233.0,304862.0,332795.0,368278.0,407149.0,442491.0,409092.0,373779.0,391622.0,387370.0,390992.0,396627.0,405016.0,417646.0,425315.0,444037.0,472140.0,488536.0,467572.0,529208.0,574095.0,
S13,TR,EU27_2020,3723926.4,3818608.0,3922827.4,4072192.6,4271095.4,4551035.5,4843105.3,4956145.5,4724951.8,4891390.3,5104894.0,5251484.6,5375434.3,5490834.4,5647584.5,5773425.7,6004572.6,6246330.3,6452712.1,6211780.7,6825747.7,7363891.9,
S13,TR,FI,75573.0,77995.0,78551.0,81495.0,85096.0,89977.0,96675.0,101120.0,93795.0,96655.0,104223.0,107122.0,110943.0,112323.0,114288.0 b	117350.0,119895.0,122631.0,125670.0,122868.0,132852.0,141746.0,,
S13,TR,FR	172905.7,774316.0,788119.0,803184.0,841688.0,881866.0,932060.0,969306.0,996839.0,967767.0,997546.0,1052566.0,1088816.0,1125153.0,1146017.0,1168959.0,1185174.0,1230059.0,1260956.0,1274570.0,1213678.5,1315601.0,1412124.8,
S13,TR,HR,11945.4,12704.2,13844.7,14472.4,15835.0,17204.6,19475.7,21159.0,19193.1,18917.2,18617.9,18629.9,18895.1,19240.5,20025.2,21327.5,22515.1,23929.2,25869.4,23612.6,26921.1,30610.9,
S13,TR,HU,25957.3,30279.0,31633.4,35341.0,37838.8,38783.4,45859.4,48714.8,43338.1,44284.7,44792.8,46907.4,48527.4,50232.0,54563.4,52315.9,56219.4,59917.5,64539.4,60469.5,63490.5,71928.0,
S13,TR,IE,40451.0,44009.5,48056.0,53315.6,58912.8,67194.9,70764.1,64662.7,55943.4,54863.7,57793.3,59802.8,61396.2,66267.6,71058.7,73822.7,77034.3,83238.9,88271.9,83266.7,99289.1,116080.5,
S13,TR,IS,4326.0,4279.9,4600.5,5231.1,6784.7,7163.2,7968.4,5663.9,4238.4,4374.8,4811.7,5178.3,5425.7,6213.9,6804.3,11092.0,9947.8,9963.5,9254.8,7997.0,8959.1,11598.0,
S13,TR,IT,575766.0,591825.0,613063.0,630318.0,644642.0,685931.0,733838.0,741382.0,725378.0,736162.0,751526.0,773920.0,775689.0,779545.0,790679.0,791500.0,804811.0,818892.0,843860.0,787357.0,866128.0,935088.0,
S13,TR,LT,4592.1,5051.4,5386.4,5953.4,7085.3,8196.2,10001.7,11446.3,9638.0,9946.9,10517.7,11029.1,11539.8,12490.4,13021.2,13413.2,14223.9,15722.6,17296.4,18072.7,20502.7,24070.4,
S13,TR,LU,10450.0,10952.6,11437.9,11919.2,13091.3,14115.5,15714.9,16523.0,16590.6,17682.5,18685.4,19689.4,20659.0,21723.9,22583.7,23573.6,24805.6,27220.7,28298.3,28078.8,31430.5,33802.0,
S13,TR,LV,3067.5,3323.6,3382.8,3970.4,4732.5,6242.0,7744.4,8347.7,6722.4,6675.0,7471.8,8264.5,8504.0,8821.7,9143.6,9518.0,10227.8,11237.0,11584.4,11456.2,12496.4,13924.1,
S13,TR,MT,1617.6,1708.3,1735.6,1847.7,2039.2,2147.2,2251.5,2364.5,2380.6,2584.7,2694.9,2856.5,3064.6,3390.5,3764.8,3953.2,4505.6,4947.3,5173.2,4763.2,5437.9,5884.1,
S13,TR,NL,205529.0,208733.0,213363.0,221580.0,231996.0,253438.0,262935.0,282084.0,266663.0,273748.0,277741.0,281370.0,289840.0,294353.0,296054.0,310066.0,323531.0,338867.0,357121.0,351403.0,380695.0,416023.0 p,
S13,TR,NO,111521.9,116887.3,112440.2,119938.3,142270.6,162890.2,172529.0,187717.2,157881.9,182342.1,206181.4,226328.7,216698.3,206320.0,192255.9,185387.9,196007.6,209905.7,210298.6,177736.2,244075.3,361008.9,
S13,TR,PL,85349.0,85048.0,76211.5,79252.7,99219.3,112304.2,128733.8,148487.2,119719.7,139244.3,148595.8,152674.5,152029.3,159471.4,168223.0,165371.1,185967.3,205577.1,219033.0,217427.6,243580.1,263273.9,
S13,TR,PT,53414.5,57591.5,58005.6,60973.9,64425.1,68275.3,73025.2,74580.4,70781.3,72742.8,74593.6,71877.5,76409.5,76799.8,78712.3,80007.3,83105.1,88006.4,91251.4,87074.3,96318.6,106094.4,
S13,TR,RO,14842.0,16046.9,16815.7,19760.7,25899.8,32571.4,44367.7,47380.2,38069.0,41550.6,45073.0,45025.2,48151.8,51552.6,56850.0,54354.9,57907.5,65249.3,71704.7,71744.0,79400.0,96419.5,
S13,TR,SE,145907.7,148094.7,155786.6,163374.1,170861.8,179447.4,188920.0,184337.8,162199.7,188534.2,204011.6,214424.2,221717.7,215741.5,224740.0,236436.4,243087.9,238281.1,237002.8,236914.7,265825.5,274362.5,
S13,TR,SI,10290.3,11209.3,11695.9,12374.5,13125.3,13946.5,15208.1,16557.9,15788.3,16209.7,16389.9,16444.4,16655.5,17061.5,17819.0,17893.5,18932.3,20283.2,21420.3,20564.3,23447.6,25181.6,
S13,TR,SK,9106.3,9805.7,11222.1,12375.8,14520.8,16071.2,19341.4,22784.6,23239.9,23839.0,26597.4,27071.3,29496.4,30658.5,34372.9,32482.8,32610.8,34744.3,37123.7,36804.7,40265.3,44119.1,
