freq,unit,sector,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,S1,B1GQ,LV	8632.3 	9374.4 	10168.7 	10499.6 	11724.0 	13791.9 	17363.1 	22791.5 	24531.5 	18922.0 	17937.5 	19666.0 	22097.5 	22791.3 	23625.8 	24572.1 	25371.3 	26984.4 	29153.6 	30572.9 	30109.5 	33348.9 	38870.0 
A,MIO_EUR,S1,B1GQ,MT	4412.4 	4565.5 	4740.9 	4823.5 	4910.4 	5152.1 	5403.0 	5790.3 	6206.0 	6259.6 	6815.8 	6924.6 	7364.5 	7944.3 	8751.1 	9996.7 	10541.1 	11936.6 	13044.0 	14285.6 	13353.8 	15292.6 	17212.5 
A,MIO_EUR,S1,B1GQ,NL	452007.0 	481881.0 	501137.0 	512810.0 	529286.0 	550883.0 	584546.0 	619170.0 	647198.0 	624842.0 	639187.0 	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	773987.0 	813055.0 	796530.0 	870587.0 	958549.0 
A,MIO_EUR,S1,B1GQ,PL	186737.9 	212834.1 	210560.0 	192552.0 	206126.0 	246216.8 	274501.7 	313848.4 	366040.5 	317040.6 	359067.8 	377042.4 	385389.4 	388356.4 	406412.5 	429834.6 	424735.3 	465772.6 	499004.1 	532504.7 	526147.2 	576382.7 	654594.4 
A,MIO_EUR,S1,B1GQ,PT	128414.4 	135775.0 	142554.3 	146067.9 	152248.4 	158552.7 	166260.5 	175483.4 	179102.8 	175416.4 	179610.8 	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	205184.1 	214374.6 	200518.9 	216053.2 	242340.8 
A,MIO_EUR,S1,B1GQ,RO	40594.9 	45143.6 	48695.7 	51108.5 	60401.9 	79223.9 	97215.6 	127632.0 	146590.6 	125213.9 	128278.9 	138520.7 	139319.8 	142928.9 	150522.4 	160287.8 	167494.3 	186399.0 	206071.9 	224178.6 	220486.6 	241611.2 	285884.8 
A,MIO_EUR,S1,B1GQ,SE	285150.3 	270524.5 	283627.1 	296305.5 	310182.0 	315774.8 	337317.2 	358945.1 	354881.1 	314637.5 	374695.2 	412844.7 	430037.1 	441850.7 	438833.9 	455494.7 	466266.5 	480025.5 	470673.1 	476869.5 	480556.4 	540734.1 	562526.4 
A,MIO_EUR,S1,B1GQ,SI	21866.8 	23249.1 	24972.4 	26247.5 	27692.0 	29122.3 	31476.1 	35073.5 	37925.7 	36254.9 	36363.9 	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40443.2 	43011.3 	45876.3 	48582.3 	47044.9 	52278.8 	57037.7 
A,MIO_EUR,S1,B1GQ,SK	22389.1 	23909.8 	26340.7 	30119.1 	34757.7 	39403.4 	45602.0 	56339.3 	66098.1 	64095.5 	68764.9 	71785.8 	73649.3 	74492.8 	76354.5 	80126.0 	81265.2 	84669.9 	89874.7 	94429.7 	93444.1 	100255.7 	109645.2 
A,MIO_NAC,S1,B1GQ,AT	213606.5 	220525.1 	226735.2 	231862.5 	242348.3 	254075.0 	267824.5 	283978.0 	293761.9 	288044.0 	295896.6 	310128.7 	318653.0 	323910.2 	333146.1 	344269.2 	357608.0 	369361.9 	385274.1 	397147.2 	380888.5 	405241.4 	447217.6 
