year;value
2000;7871932
2001;8244633.1
2002;8541711.6
2003;8770780.2
2004;9171419.9
2005;9564449.5
2006;10116422.9
2007;10743150.9
2008;11089886
2009;10592066.5
2010;10982742.6
2011;11328511
2012;11396147.9
2013;11516140.8
2014;11782563.7
2015;12215764.9
2016;12548314.2
2017;13075679.2
2018;13534335.2
2019;14019662.3
2020;13471035.6
2021;14640035.7
2022;15906446.8
