Year;value
2000;471568.5258
2001;483820.304
2002;482425.1053
2003;487746.6201
2004;501546.2155
2005;520550.3323
2006;553816.6169
2007;589190.0087
2008;614028.5131
2009;602509.8434
2010;623788.9695
2011;635556.313
2012;643614.4058
2013;654776.0745
2014;665803.4521
2015;667781.4127
2016;677532.6763
2017;684713.3341
2018;709736.9695
2019;717307.8335
2020;695752.2491
2021;742375.8356
2022;781639.2337
