Year;value
2000;471591.789
2001;483827.9556
2002;482408.5912
2003;487709.4099
2004;501574.4363
2005;520591.4739
2006;553856.8275
2007;589187.6631
2008;614016.0084
2009;602541.7303
2010;623829.3665
2011;635597.9276
2012;643619.5972
2013;654779.3488
2014;665775.2925
2015;667796.5137
2016;677567.4076
2017;684753.4962
2018;709737.2126
2019;717291.9195
2020;695799.3851
2021;742446.1345
2022;781666.4431
2023;795290.5239
