freq,unit,sector,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,S13,GD,HR	4069.9 	4756.6 	5274.6 	5048.8 	6294.4 	8441.0 	9661.3 	10397.5 	11622.3 	13210.7 	15124.7 	15534.8 	16488.4 	18559.3 	22096.9 	25790.4 	28518.7 	30747.0 	35386.3 	36741.7 	37534.5 	37575.8 	38365.9 	38664.6 	39415.7 	43780.8 	45743.6 	46334.0 
A,MIO_EUR,S13,GD,HU	26792.1 	24589.6 	24505.0 	25039.9 	27599.0 	28008.4 	32818.1 	41007.4 	42348.3 	50505.1 	54075.6 	62298.8 	66503.3 	73317.3 	76528.1 	79114.5 	72881.6 	77530.7 	78882.3 	79575.8 	83833.8 	87470.1 	91265.8 	93372.4 	94233.4 	105468.0 	114630.7 	121820.6 
A,MIO_EUR,S13,GD,IE	41333.3 	44446.7 	43599.1 	41352.7 	43212.9 	39494.0 	40969.2 	41987.4 	43409.3 	43888.9 	44371.3 	43723.8 	47183.1 	79621.0 	104685.4 	144229.6 	189726.7 	210026.1 	215241.6 	203381.6 	201673.9 	200635.0 	201262.0 	205847.5 	203382.8 	217884.8 	236127.2 	224760.6 
A,MIO_EUR,S13,GD,IT	1096649.1 	1260410.3 	1271893.8 	1299741.3 	1331320.6 	1353569.3 	1420026.6 	1436141.8 	1471325.7 	1526400.5 	1591580.6 	1657334.2 	1677649.8 	1738647.0 	1839232.6 	1920625.3 	1973467.5 	2054753.0 	2136229.5 	2202999.1 	2239409.8 	2285705.0 	2329931.7 	2381640.4 	2410322.8 	2573538.9 	2679901.4 	2757547.4 
A,MIO_EUR,S13,GD,LT	587.5 	931.1 	1408.8 	1593.4 	2480.4 	2912.1 	3185.2 	3365.7 	3395.1 	3404.5 	3701.9 	4151.9 	4609.7 	4762.1 	7528.5 	10150.9 	11629.3 	13264.1 	13550.8 	14827.6 	15880.8 	15446.7 	16540.3 	15321.7 	17526.1 	23062.5 	24535.5 	25672.4 
A,MIO_EUR,S13,GD,LU	1609.9 	1606.0 	1625.1 	1646.2 	1659.2 	1722.6 	1820.4 	1862.8 	1949.9 	2207.2 	2407.4 	2804.1 	3045.9 	5852.4 	5969.0 	8094.5 	8201.2 	9700.3 	10997.5 	11316.6 	11432.2 	11010.3 	12675.5 	12567.6 	13960.9 	15875.8 	17731.2 	19175.3 
A,MIO_EUR,S13,GD,LV	561.3 	625.6 	619.5 	574.5 	904.6 	1011.0 	1304.4 	1251.5 	1410.2 	1628.6 	1638.8 	1736.5 	1935.1 	4511.3 	6957.0 	8537.7 	8948.5 	9364.1 	9172.0 	9817.9 	9089.1 	10224.1 	10492.6 	10784.0 	11209.1 	12710.6 	14688.4 	15948.2 
A,MIO_EUR,S13,GD,MT	968.4 	1177.2 	1568.6 	1790.2 	2441.8 	2654.0 	2989.2 	2927.3 	3267.4 	3449.6 	3606.4 	3472.9 	3584.6 	3837.0 	4152.7 	4462.5 	4848.3 	4907.4 	5278.4 	5433.3 	5623.1 	5769.7 	5705.4 	5662.1 	5720.3 	6974.7 	8263.9 	9000.5 
A,MIO_EUR,S13,GD,NL	251941.0 	248190.7 	240307.5 	247525.0 	246248.0 	235879.0 	238681.0 	244916.0 	256483.0 	266332.0 	274277.0 	264157.0 	266221.0 	354036.0 	354763.0 	378762.0 	401303.0 	432462.0 	447082.0 	455886.0 	446144.0 	438532.0 	420440.0 	405899.0 	394825.0 	435475.0 	449659.0 	480548.0 
A,MIO_EUR,S13,GD,PL	50553.7 	50752.2 	56877.7 	56959.0 	63105.5 	70735.4 	83306.4 	84224.1 	83894.0 	103059.1 	119592.0 	131958.8 	147052.7 	144651.7 	166538.0 	194894.8 	192144.5 	216868.9 	224119.6 	204509.3 	216566.3 	229014.4 	241130.0 	240804.6 	245729.6 	293124.1 	306839.2 	323054.6 
A,MIO_EUR,S13,GD,PT	56509.9 	61112.1 	59592.2 	61930.0 	66266.9 	69591.8 	77908.0 	85594.9 	93333.4 	102157.9 	114552.9 	122499.7 	127625.5 	135477.9 	154014.0 	179996.0 	201459.4 	217160.3 	224077.6 	230058.8 	235746.1 	245244.8 	247174.5 	249260.5 	249977.5 	270494.9 	269089.0 	272435.3 
A,MIO_EUR,S13,GD,RO	1487.0 	2334.4 	4334.8 	4852.1 	6527.4 	7532.8 	10917.2 	10757.1 	10309.5 	11768.7 	12397.6 	12585.6 	14099.4 	16555.6 	27295.7 	36728.8 	43937.9 	49445.7 	53429.3 	58489.2 	59494.1 	62788.8 	64555.9 	70848.4 	78095.7 	102630.3 	116641.9 	134469.0 
A,MIO_EUR,S13,GD,SE	150615.7 	156587.6 	156232.0 	149369.0 	160018.2 	137290.4 	139698.4 	141390.6 	146709.7 	152019.2 	152005.1 	150536.4 	136790.5 	117708.1 	132747.7 	151873.4 	155456.0 	163584.7 	173692.4 	191307.6 	202759.8 	195264.7 	194607.1 	186321.6 	171978.5 	200526.7 	195204.5 	176776.5 
A,MIO_EUR,S13,GD,SI	2788.0 	3540.4 	3915.3 	4428.9 	4921.0 	5483.6 	6035.5 	6707.8 	6943.8 	7427.5 	7690.1 	8201.5 	8013.6 	8262.5 	12517.5 	13916.2 	17216.6 	19417.7 	25520.1 	30219.9 	32087.4 	31756.0 	31893.0 	32246.3 	31752.4 	37424.3 	38878.5 	41241.6 
A,MIO_EUR,S13,GD,SK	3309.0 	5089.8 	6323.8 	6311.2 	9555.1 	10953.5 	12369.5 	12274.1 	13125.0 	14977.1 	13945.3 	15496.2 	17194.1 	19616.1 	23305.7 	27928.8 	30979.9 	38098.1 	40742.0 	40844.0 	41413.4 	42481.3 	43572.4 	44405.3 	45305.6 	54992.9 	61237.8 	63378.0 
