month;quote;total
2020-09;7.7;12276000
2020-10;6.6;10619000
2020-11;6.4;10265000
2020-12;6.5;10403000
2021-01;6.8;10850000
2021-02;6.6;10486000
2021-03;6.2;9905000
2021-04;5.7;9220000
2021-05;5.5;8829000
2021-06;6.1;9884000
2021-07;5.7;9222000
2021-08;5.3;8556000
2021-09;4.6;7366000
2021-10;4.3;6897000
2021-11;3.9;6302000
2021-12;3.7;5963000
2022-01;4.4;7206000
2022-02;4.1;6783000
2022-03;3.8;6169000
2022-04;3.3;5458000
2022-05;3.4;5548000
2022-06;3.8;6334000
2022-07;3.8;6255000
2022-08;3.8;6257000
2022-09;3.3;5459000
2022-10;3.4;5609000
2022-11;3.4;5523000
2022-12;3.3;5352000
2023-01;3.9;6378000
2023-02;3.9;6466000
2023-03;3.6;6043000
2023-04;3.1;5146000
2023-05;3.4;5700000
2023-06;3.8;6350000
2023-07;3.8;6373000
2023-08;3.9;6623000
2023-09;3.6;6049000
2023-10;3.6;6098000
2023-11;3.5;5827000
2023-12;3.5;5907000
2024-01;4.1;6778000
2024-02;;0
