freq,s_adj,age,unit,sex,geo\TIME_PERIOD,2000-01 ,2000-02 ,2000-03 ,2000-04 ,2000-05 ,2000-06 ,2000-07 ,2000-08 ,2000-09 ,2000-10 ,2000-11 ,2000-12 ,2001-01 ,2001-02 ,2001-03 ,2001-04 ,2001-05 ,2001-06 ,2001-07 ,2001-08 ,2001-09 ,2001-10 ,2001-11 ,2001-12 ,2002-01 ,2002-02 ,2002-03 ,2002-04 ,2002-05 ,2002-06 ,2002-07 ,2002-08 ,2002-09 ,2002-10 ,2002-11 ,2002-12 ,2003-01 ,2003-02 ,2003-03 ,2003-04 ,2003-05 ,2003-06 ,2003-07 ,2003-08 ,2003-09 ,2003-10 ,2003-11 ,2003-12 ,2004-01 ,2004-02 ,2004-03 ,2004-04 ,2004-05 ,2004-06 ,2004-07 ,2004-08 ,2004-09 ,2004-10 ,2004-11 ,2004-12 ,2005-01 ,2005-02 ,2005-03 ,2005-04 ,2005-05 ,2005-06 ,2005-07 ,2005-08 ,2005-09 ,2005-10 ,2005-11 ,2005-12 ,2006-01 ,2006-02 ,2006-03 ,2006-04 ,2006-05 ,2006-06 ,2006-07 ,2006-08 ,2006-09 ,2006-10 ,2006-11 ,2006-12 ,2007-01 ,2007-02 ,2007-03 ,2007-04 ,2007-05 ,2007-06 ,2007-07 ,2007-08 ,2007-09 ,2007-10 ,2007-11 ,2007-12 ,2008-01 ,2008-02 ,2008-03 ,2008-04 ,2008-05 ,2008-06 ,2008-07 ,2008-08 ,2008-09 ,2008-10 ,2008-11 ,2008-12 ,2009-01 ,2009-02 ,2009-03 ,2009-04 ,2009-05 ,2009-06 ,2009-07 ,2009-08 ,2009-09 ,2009-10 ,2009-11 ,2009-12 ,2010-01 ,2010-02 ,2010-03 ,2010-04 ,2010-05 ,2010-06 ,2010-07 ,2010-08 ,2010-09 ,2010-10 ,2010-11 ,2010-12 ,2011-01 ,2011-02 ,2011-03 ,2011-04 ,2011-05 ,2011-06 ,2011-07 ,2011-08 ,2011-09 ,2011-10 ,2011-11 ,2011-12 ,2012-01 ,2012-02 ,2012-03 ,2012-04 ,2012-05 ,2012-06 ,2012-07 ,2012-08 ,2012-09 ,2012-10 ,2012-11 ,2012-12 ,2013-01 ,2013-02 ,2013-03 ,2013-04 ,2013-05 ,2013-06 ,2013-07 ,2013-08 ,2013-09 ,2013-10 ,2013-11 ,2013-12 ,2014-01 ,2014-02 ,2014-03 ,2014-04 ,2014-05 ,2014-06 ,2014-07 ,2014-08 ,2014-09 ,2014-10 ,2014-11 ,2014-12 ,2015-01 ,2015-02 ,2015-03 ,2015-04 ,2015-05 ,2015-06 ,2015-07 ,2015-08 ,2015-09 ,2015-10 ,2015-11 ,2015-12 ,2016-01 ,2016-02 ,2016-03 ,2016-04 ,2016-05 ,2016-06 ,2016-07 ,2016-08 ,2016-09 ,2016-10 ,2016-11 ,2016-12 ,2017-01 ,2017-02 ,2017-03 ,2017-04 ,2017-05 ,2017-06 ,2017-07 ,2017-08 ,2017-09 ,2017-10 ,2017-11 ,2017-12 ,2018-01 ,2018-02 ,2018-03 ,2018-04 ,2018-05 ,2018-06 ,2018-07 ,2018-08 ,2018-09 ,2018-10 ,2018-11 ,2018-12 ,2019-01 ,2019-02 ,2019-03 ,2019-04 ,2019-05 ,2019-06 ,2019-07 ,2019-08 ,2019-09 ,2019-10 ,2019-11 ,2019-12 ,2020-01 ,2020-02 ,2020-03 ,2020-04 ,2020-05 ,2020-06 ,2020-07 ,2020-08 ,2020-09 ,2020-10 ,2020-11 ,2020-12 ,2021-01 ,2021-02 ,2021-03 ,2021-04 ,2021-05 ,2021-06 ,2021-07 ,2021-08 ,2021-09 ,2021-10 ,2021-11 ,2021-12 ,2022-01 ,2022-02 ,2022-03 ,2022-04 ,2022-05 ,2022-06 ,2022-07 ,2022-08 ,2022-09 ,2022-10 ,2022-11 ,2022-12 ,2023-01 ,2023-02 ,2023-03 ,2023-04 ,2023-05 ,2023-06 ,2023-07 ,2023-08 ,2023-09 ,2023-10 ,2023-11 ,2023-12 ,2024-01 ,2024-02 
M,NSA,TOTAL,PC_ACT,T,US,4.5,4.4,4.3,3.7,3.8,4.1,4.2,4.1,3.8,3.6,3.7,3.7,4.7,4.6,4.5,4.2,4.1,4.7,4.7,4.9,4.7,5,5.3,5.4,6.3,6.1,6.1,5.7,5.5,6,5.9,5.7,5.4,5.3,5.6,5.7,6.5,6.4,6.2,5.8,5.8,6.5,6.3,6,5.8,5.6,5.6,5.4,6.3,6,6,5.4,5.3,5.8,5.7,5.4,5.1,5.1,5.2,5.1,5.7,5.8,5.4,4.9,4.9,5.2,5.2,4.9,4.8,4.6,4.8,4.6,5.1,5.1,4.8,4.5,4.4,4.8,5,4.6,4.4,4.1,4.3,4.3,5,4.9,4.5,4.3,4.3,4.7,4.9,4.6,4.5,4.4,4.5,4.8,5.4,5.2,5.2,4.8,5.2,5.7,6,6.1,6,6.1,6.5,7.1,8.5,8.9,9,8.6,9.1,9.7,9.7,9.6,9.5,9.5,9.4,9.7,10.6,10.4,10.2,9.5,9.3,9.6,9.7,9.5,9.2,9,9.3,9.1,9.8,9.5,9.2,8.7,8.7,9.3,9.3,9.1,8.8,8.5,8.2,8.3,8.8,8.7,8.4,7.7,7.9,8.4,8.6,8.2,7.6,7.5,7.4,7.6,8.5,8.1,7.6,7.1,7.3,7.8,7.7,7.3,7,7,6.6,6.5,7,7,6.8,5.9,6.1,6.3,6.5,6.3,5.7,5.5,5.5,5.4,6.1,5.8,5.6,5.1,5.3,5.5,5.6,5.2,4.9,4.8,4.8,4.8,5.3,5.2,5.1,4.7,4.5,5.1,5.1,5,4.8,4.7,4.4,4.5,5.1,4.9,4.6,4.1,4.1,4.5,4.6,4.5,4.1,3.9,3.9,3.9,4.5,4.4,4.1,3.7,3.6,4.2,4.1,3.9,3.6,3.5,3.5,3.7,4.4,4.1,3.9,3.3,3.4,3.8,4,3.8,3.3,3.3,3.3,3.4,4,3.8,4.5,14.4,13,11.2,10.5,8.5,7.7,6.6,6.4,6.5,6.8,6.6,6.2,5.7,5.5,6.1,5.7,5.3,4.6,4.3,3.9,3.7,4.4,4.1,3.8,3.3,3.4,3.8,3.8,3.8,3.3,3.4,3.4,3.3,3.9,3.9,3.6,3.1,3.4,3.8,3.8,3.9,3.6,3.6,3.5,3.5,4.1,
M,NSA,TOTAL,THS_PER,T,US,6316,6285,6069,5211,5459,5959,6028,5864,5359,5152,5336,5265,6647,6524,6509,6004,5901,6816,6858,7016,6767,7176,7617,7773,9050,8823,8776,8255,7969,8759,8693,8272,7790,7769,8170,8208,9395,9260,9017,8500,8501,9650,9319,8830,8435,8167,8269,7945,9144,8770,8834,7837,7792,8616,8517,7940,7545,7531,7665,7600,8443,8549,7986,7335,7287,7870,7838,7328,7259,6964,7271,6957,7608,7692,7255,6804,6655,7341,7603,7085,6625,6272,6576,6490,7649,7400,6912,6531,6486,7294,7556,7088,6952,6773,6917,7371,8221,7953,8027,7287,8076,8932,9433,9479,9200,9469,10014,11000,13008,13698,13894,13249,13974,15095,15201,14822,14538,14547,14407,14740,16147,15991,15678,14608,14369,14885,15137,14760,14140,13903,14282,13997,14937,14541,14060,13236,13420,14410,14429,14009,13520,13102,12613,12692,13541,13429,12904,11910,12271,13183,13400,12696,11741,11741,11405,11845,13180,12499,11814,11013,11302,12248,12083,11462,10884,10773,10271,9984,10854,10893,10537,9079,9442,9893,10307,9787,8963,8680,8630,8332,9498,9095,8682,7967,8371,8638,8804,8162,7627,7599,7573,7543,8310,8218,8116,7413,7207,8144,8267,7996,7660,7447,7067,7170,8149,7888,7284,6555,6571,7251,7441,7288,6556,6241,6286,6278,7188,7091,6671,5931,5755,6812,6730,6370,5767,5771,5650,6030,7141,6625,6381,5387,5503,6291,6556,6203,5465,5509,5440,5503,6503,6217,7370,22504,20514,18072,16883,13742,12276,10619,10265,10403,10850,10486,9905,9220,8829,9884,9222,8556,7366,6897,6302,5963,7206,6783,6169,5458,5548,6334,6255,6257,5459,5609,5523,5352,6378,6466,6043,5146,5700,6350,6373,6623,6049,6098,5827,5907,6778,
