na_item;geo\TIME_PERIOD;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Einnahmen;SI;3029;3318.7;3523.2;3741.6;3932.6;4140.3;4345.8;4543.4;5043.5;5335.1;5502.4;5665.1;5597.7;5406.5;5336;5414.2;5715.7;5972.1;6288.2;6731.4;7382.9;8087;8196.6
Einnahmen;SK;3280.7;3444.1;3770.5;4272.1;4279;4689.7;5237.7;6021.6;7048.6;7731.8;8048.7;8303.7;8523.1;8986.3;9314.2;9808.4;10296.9;10703.4;11386;12756.7;13661.4;14502.8;15145.2
Ausgaben;AT;109009.8;113252.2;115758.1;118878.2;130153.4;129973.4;134929.8;139842.5;146510.8;155960.8;156351.2;157845.9;163191.9;167292.1;174671.6;176030;179059;182091.3;187850.6;193308.6;216367;227664.2;237757.2
Ausgaben;BE;126645.6;130526.9;136364.4;143545.3;146388.2;160791.6;158639.4;166871.4;178598.7;189453.9;195653.6;207926.9;218102.1;220469.6;224069.4;223850.7;228451.2;231560.7;240446;248477.6;270704.1;278574.4;294507.8 p
Ausgaben;BG;6206.6;6462.4;6835.4;7250.7;7977.7;8833.9;9226.4;12237.5;13801.9;14695.3;13830.6;13978.1;14476;15879.5;18575.1;18495.2;16952.3;18265.6;20770.4;22343.7;25573.3;29615.7;35482.8
Ausgaben;CY;3720.5;4094.4;4464.8;5215.4;5371.8;5905.2;6293.7;6614.5;7300.1;7862.4;8114.5;8355.3;8205.4;7729.8;8611.2;7256.5;7089.4;7395.8;9236.1;8919.4;9767;10445.4;10780.1
Ausgaben;CZ;27380.7;32787.8;39012.6;43549;40865.6;46743.1;51652;56210.9;66233.5;66352.7;68900.8;71347;72636.1;68010.6;67266.7;71102.8;70533.6;75673.2;85642.7;92623.1;101900.7;110803.7;123187.5
Ausgaben;DE;1007254;1030137;1052274;1068281;1058667;1071405;1078898;1084748;1125536;1178850;1234544;1218524;1233138;1263544;1296940;1335789;1390374;1443273;1491601;1563438.0 p;1717583.0 p;1842603.0 p;1918143.0 p
Ausgaben;DK;93792;97244.9;100998;103713.5;107278.5;109058.5;112381.7;115738.1;121799.2;130756.1;137809.7;139876.9;147540.5;144431.1;146744.9;148870;148572.1;149024.1;152822;153734.9;166503;170811.4;171186
Ausgaben;EE;2244.4;2443.1;2806.3;3063.7;3330.2;3824.7;4537;5533.4;6555.9;6479.8;5936.9;6241.4;7031.5;7266.3;7571.1;8154.5;8568.1;9351.4;10183.9;10937.6;12308;13056.3;14323.8
